Transaction_ID,Predicted_Fraud,Actual_Fraud,User_Confirmation,Correct_Prediction
1030465,1,1,YES,True
1032638,1,0,YES,True
1030598,1,1,YES,True
1030347,1,1,YES,True
1030724,1,1,YES,True
69086,1,0,YES,True
1013893,1,1,YES,True
1030308,1,1,YES,True
625149,1,0,YES,True
1030616,1,1,NO,False
1030572,1,1,NO,False
1030383,1,1,YES,True
4441,1,1,YES,True
1030448,1,1,YES,True
1030624,1,1,YES,True
1030510,1,1,YES,True
992140,1,1,YES,True
4443,1,1,YES,True
4261,1,1,YES,True
985997,1,1,YES,True
49825,1,1,NO,False
576027,1,1,YES,True
576160,1,1,YES,True
576341,1,1,NO,False
576351,1,1,YES,True
1030775,1,1,YES,True
1030300,1,1,NO,False
1030297,1,1,YES,True
566149,1,1,YES,True
72930,1,1,YES,True
574957,1,1,YES,True
680,1,1,YES,True
1030492,1,1,NO,False
759791,1,1,YES,True
554858,1,1,YES,True
1030610,1,1,YES,True
1030715,1,1,NO,False
1023029,1,1,YES,True
1030699,1,1,YES,True
1030438,1,1,YES,True
1030739,1,1,NO,False
610270,1,1,YES,True
1030395,1,1,YES,True
1029016,1,0,YES,True
1030461,1,1,YES,True
597896,1,1,YES,True
960909,1,1,YES,True
576369,1,1,YES,True
1030641,1,1,YES,True
1030366,1,1,NO,False
1030728,1,1,YES,True
848429,1,1,YES,True
1030575,1,1,NO,False
1030720,1,1,YES,True
1030636,1,1,YES,True
1030284,1,1,NO,False
576358,1,1,YES,True
1030275,1,1,YES,True
1030493,1,1,NO,False
1030375,1,1,YES,True
1030481,1,1,YES,True
1030446,1,1,NO,False
1033611,1,1,YES,True
1030505,1,1,YES,True
1030282,1,1,YES,True
1030530,1,1,YES,True
1030611,1,1,YES,True
1030568,1,1,YES,True
813450,1,0,YES,True
480463,1,1,NO,False
1030410,1,1,YES,True
1030293,1,1,NO,False
1025194,1,1,YES,True
1030562,1,1,YES,True
1030754,1,1,YES,True
1030329,1,1,NO,False
572195,1,1,YES,True
1030609,1,1,NO,False
805429,1,1,NO,False
576350,1,1,YES,True
1030613,1,1,YES,True
6703,1,1,YES,True
1030563,1,1,YES,True
1030550,1,1,YES,True
1030449,1,1,YES,True
1013894,1,1,NO,False
777627,1,1,YES,True
6897,1,1,YES,True
1030334,1,1,YES,True
574991,1,1,NO,False
800385,1,1,YES,True
1030330,1,1,YES,True
1030693,1,1,NO,False
1030557,1,1,NO,False
1030422,1,1,YES,True
1030591,1,1,YES,True
1030584,1,1,YES,True
222998,1,1,YES,True
1030546,1,1,YES,True
896003,1,1,YES,True
1030515,1,1,YES,True
576022,1,1,NO,False
1030367,1,1,YES,True
1015714,1,1,NO,False
1030523,1,1,YES,True
586311,1,1,YES,True
1030487,1,1,YES,True
1030588,1,1,NO,False
1030458,1,1,YES,True
1015713,1,1,YES,True
1015514,1,1,YES,True
